# Curadoria do catálogo. Formato: id_free-exercise-db | slug-estavel | Nome em PT | alias1; alias2; ...
# Nomes PT e aliases escritos à mão (a fonte só tem inglês) => todos ficam "a_revisar".

## PEITO
Barbell_Bench_Press_-_Medium_Grip | supino-reto-barra | Supino reto com barra | supino reto; supino barra; supino plano; supino
Barbell_Incline_Bench_Press_-_Medium_Grip | supino-inclinado-barra | Supino inclinado com barra | supino inclinado barra; supino inclinado com barra
Decline_Barbell_Bench_Press | supino-declinado-barra | Supino declinado com barra | supino declinado; supino declinado barra
Dumbbell_Bench_Press | supino-reto-halteres | Supino reto com halteres | supino com halteres; supino reto halter; supino halteres
Incline_Dumbbell_Press | supino-inclinado-halteres | Supino inclinado com halteres | supino inclinado halter; supino inclinado com halter
Decline_Dumbbell_Bench_Press | supino-declinado-halteres | Supino declinado com halteres | supino declinado halter
Machine_Bench_Press | supino-maquina | Supino na máquina | chest press; supino maquina; peitoral na máquina; supino sentado
Leverage_Incline_Chest_Press | supino-inclinado-maquina | Supino inclinado na máquina | chest press inclinado; peitoral inclinado máquina
Smith_Machine_Bench_Press | supino-reto-smith | Supino reto no Smith | supino smith; supino guiado; supino no smith
Smith_Machine_Incline_Bench_Press | supino-inclinado-smith | Supino inclinado no Smith | supino inclinado smith; supino inclinado guiado
Cable_Chest_Press | supino-polia | Supino na polia | press peitoral polia; supino cabo
Dumbbell_Flyes | crucifixo-reto-halteres | Crucifixo reto com halteres | crucifixo; crucifixo reto; fly com halteres; voador com halteres
Incline_Dumbbell_Flyes | crucifixo-inclinado-halteres | Crucifixo inclinado com halteres | crucifixo inclinado
Cable_Crossover | crossover-polia-alta | Crossover na polia alta | crossover; cross over; crossover polia; cruzamento na polia; crucifixo na polia
Low_Cable_Crossover | crossover-polia-baixa | Crossover na polia baixa | crossover baixo; crossover invertido; crucifixo polia baixa
Butterfly | peck-deck | Peck deck (voador) | peck deck; pec deck; peck deck convergente; voador; crucifixo na máquina; crucifixo máquina; fly máquina; peitoral voador
Dips_-_Chest_Version | paralelas-peito | Paralelas com foco em peito | paralelas; mergulho; mergulho nas paralelas; dip; dips; dips peito; paralela peito
Pushups | flexao-de-braco | Flexão de braço | flexão; flexao; apoio; push up; push-up
Straight-Arm_Dumbbell_Pullover | pullover-halter | Pullover com halter | pullover; pullover halteres

## COSTAS
Pullups | barra-fixa-pronada | Barra fixa (pegada pronada) | barra fixa; barra; pull-up; pullup; pull up
Chin-Up | barra-fixa-supinada | Barra fixa supinada | chin-up; chin up; barra supinada; barra fixa supinada
